,master_ccl_id,ccl_name,ccle_primary_site,ccle_primary_hist,ccle_hist_subtype_1
90,143,CHP126,autonomic_ganglia,neuroblastoma,
91,144,CHP212,autonomic_ganglia,neuroblastoma,
286,475,IMR32,autonomic_ganglia,neuroblastoma,
327,528,KELLY,autonomic_ganglia,neuroblastoma,
358,571,KPNSI9S,autonomic_ganglia,neuroblastoma,
359,572,KPNYN,autonomic_ganglia,neuroblastoma,
429,678,MHHNB11,autonomic_ganglia,neuroblastoma,
455,720,NB1,autonomic_ganglia,neuroblastoma,
459,852,NH6,autonomic_ganglia,neuroblastoma,
570,1030,SIMA,autonomic_ganglia,neuroblastoma,
589,1051,SKNAS,autonomic_ganglia,neuroblastoma,
590,1052,SKNBE2,autonomic_ganglia,neuroblastoma,
591,1053,SKNDZ,autonomic_ganglia,neuroblastoma,
592,1055,SKNFI,autonomic_ganglia,neuroblastoma,
594,1058,SKNSH,autonomic_ganglia,neuroblastoma,
271,455,HUCCT1,biliary_tract,carcinoma,
274,458,HUH28,biliary_tract,carcinoma,
605,1082,SNU1079,biliary_tract,carcinoma,
608,1085,SNU1196,biliary_tract,carcinoma,
617,1095,SNU245,biliary_tract,carcinoma,
618,1097,SNU308,biliary_tract,carcinoma,
628,1109,SNU478,biliary_tract,carcinoma,
644,1126,SNU869,biliary_tract,carcinoma,
26,37,A673,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
63,108,CADOES1,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
75,120,CAL78,bone,chondrosarcoma,dedifferentiated
164,262,G292CLONEA141B1,bone,osteosarcoma,
239,383,HOS,bone,osteosarcoma,
251,424,HS822T,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
254,432,HS888T,bone,osteosarcoma,
425,673,MG63,bone,osteosarcoma,
428,677,MHHES1,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
529,963,RDES,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
553,1004,SAOS2,bone,osteosarcoma,
571,1032,SJSA1,bone,osteosarcoma,
574,1035,SKES1,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
593,1056,SKNMC,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
670,1154,SW1353,bone,chondrosarcoma,
687,1180,TC71,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
717,1226,U2OS,bone,osteosarcoma,
36,53,AU565,breast,carcinoma,
55,90,BT20,breast,carcinoma,ductal_carcinoma
56,97,BT474,breast,carcinoma,ductal_carcinoma
57,99,BT549,breast,carcinoma,ductal_carcinoma
66,111,CAL120,breast,carcinoma,
68,113,CAL148,breast,carcinoma,ductal_carcinoma
72,117,CAL51,breast,carcinoma,
76,121,CAL851,breast,carcinoma,
80,125,CAMA1,breast,carcinoma,
